Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_0,	GEMM,	0.5494634051955306,	0.7057336174860334,	0.0,	5.397404933296088,	6.652601955977652,	356.3135352,	362.96613715597766,	0.12048977692737428,	0.020784216494413404,	0.0,	0.2762647137150837,	0.4175387071368714,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	179.41403630713685,	0.007501084600398795,	0.47626448761777723,	0.483765572218176,	0.0008438720175448645,	0.47626448761777723,	0.47710835963532205,	0.04435985114776642,	2.173346768948554,	2.2177066200963202,	0.030006292500597997,	3.0291242558158933,	3.059130548316491,	0.08271110026630808,	6.155000000000002,	6.23771110026631,	7.1528517633808315,	541.4650327999999,	548.6178845633807,	
Conv2_0,	GEMM,	0.6167394082772435,	1.6146932290264424,	0.0,	0.7739664681850962,	3.005399105488782,	356.3135352,	359.31893430548877,	0.5155775032882611,	0.21744810072115384,	0.6436654382812499,	0.7262224097235576,	2.1029134520142225,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.0994110520142,	0.010045998849891066,	0.47626448761777723,	0.4863104864676683,	0.0014524335686589495,	0.47626448761777723,	0.4777169211864362,	0.059409943675093065,	2.173346768948554,	2.232756712623647,	0.04018661247127866,	3.0291242558158933,	3.0693108682871717,	0.11109498856492173,	6.155000000000002,	6.266094988564924,	5.219407546067926,	541.4650327999999,	546.6844403460678,	
Conv1_1,	GEMM,	0.5494634051955306,	0.7057336174860334,	0.0,	5.397404933296088,	6.652601955977652,	356.3135352,	362.96613715597766,	0.12048977692737428,	0.020784216494413404,	0.0,	0.2762647137150837,	0.4175387071368714,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	179.41403630713685,	0.007501084600398795,	0.47626448761777723,	0.483765572218176,	0.0008438720175448645,	0.47626448761777723,	0.47710835963532205,	0.04435985114776642,	2.173346768948554,	2.2177066200963202,	0.030006292500597997,	3.0291242558158933,	3.059130548316491,	0.08271110026630808,	6.155000000000002,	6.23771110026631,	7.1528517633808315,	541.4650327999999,	548.6178845633807,	
Conv2_1,	GEMM,	0.6167394082772435,	1.6146932290264424,	0.0,	0.7739664681850962,	3.005399105488782,	356.3135352,	359.31893430548877,	0.5155775032882611,	0.21744810072115384,	0.6436654382812499,	0.7262224097235576,	2.1029134520142225,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.0994110520142,	0.010045998849891066,	0.47626448761777723,	0.4863104864676683,	0.0014524335686589495,	0.47626448761777723,	0.4777169211864362,	0.059409943675093065,	2.173346768948554,	2.232756712623647,	0.04018661247127866,	3.0291242558158933,	3.0693108682871717,	0.11109498856492173,	6.155000000000002,	6.266094988564924,	5.219407546067926,	541.4650327999999,	546.6844403460678,	
Conv1_2,	GEMM,	0.5494634051955306,	0.7057336174860334,	0.0,	5.397404933296088,	6.652601955977652,	356.3135352,	362.96613715597766,	0.12048977692737428,	0.020784216494413404,	0.0,	0.2762647137150837,	0.4175387071368714,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	179.41403630713685,	0.007501084600398795,	0.47626448761777723,	0.483765572218176,	0.0008438720175448645,	0.47626448761777723,	0.47710835963532205,	0.04435985114776642,	2.173346768948554,	2.2177066200963202,	0.030006292500597997,	3.0291242558158933,	3.059130548316491,	0.08271110026630808,	6.155000000000002,	6.23771110026631,	7.1528517633808315,	541.4650327999999,	548.6178845633807,	
Conv2_2,	GEMM,	0.6167394082772435,	1.6146932290264424,	0.0,	0.7739664681850962,	3.005399105488782,	356.3135352,	359.31893430548877,	0.5155775032882611,	0.21744810072115384,	0.6436654382812499,	0.7262224097235576,	2.1029134520142225,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.0994110520142,	0.010045998849891066,	0.47626448761777723,	0.4863104864676683,	0.0014524335686589495,	0.47626448761777723,	0.4777169211864362,	0.059409943675093065,	2.173346768948554,	2.232756712623647,	0.04018661247127866,	3.0291242558158933,	3.0693108682871717,	0.11109498856492173,	6.155000000000002,	6.266094988564924,	5.219407546067926,	541.4650327999999,	546.6844403460678,	
Conv1_3,	GEMM,	0.5494634051955306,	0.7057336174860334,	0.0,	5.397404933296088,	6.652601955977652,	356.3135352,	362.96613715597766,	0.12048977692737428,	0.020784216494413404,	0.0,	0.2762647137150837,	0.4175387071368714,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	179.41403630713685,	0.007501084600398795,	0.47626448761777723,	0.483765572218176,	0.0008438720175448645,	0.47626448761777723,	0.47710835963532205,	0.04435985114776642,	2.173346768948554,	2.2177066200963202,	0.030006292500597997,	3.0291242558158933,	3.059130548316491,	0.08271110026630808,	6.155000000000002,	6.23771110026631,	7.1528517633808315,	541.4650327999999,	548.6178845633807,	
Conv2_3,	GEMM,	0.6167394082772435,	1.6146932290264424,	0.0,	0.7739664681850962,	3.005399105488782,	356.3135352,	359.31893430548877,	0.5155775032882611,	0.21744810072115384,	0.6436654382812499,	0.7262224097235576,	2.1029134520142225,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.0994110520142,	0.010045998849891066,	0.47626448761777723,	0.4863104864676683,	0.0014524335686589495,	0.47626448761777723,	0.4777169211864362,	0.059409943675093065,	2.173346768948554,	2.232756712623647,	0.04018661247127866,	3.0291242558158933,	3.0693108682871717,	0.11109498856492173,	6.155000000000002,	6.266094988564924,	5.219407546067926,	541.4650327999999,	546.6844403460678,	
Conv1_4,	GEMM,	0.5494634051955306,	0.7057336174860334,	0.0,	5.397404933296088,	6.652601955977652,	356.3135352,	362.96613715597766,	0.12048977692737428,	0.020784216494413404,	0.0,	0.2762647137150837,	0.4175387071368714,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	179.41403630713685,	0.007501084600398795,	0.47626448761777723,	0.483765572218176,	0.0008438720175448645,	0.47626448761777723,	0.47710835963532205,	0.04435985114776642,	2.173346768948554,	2.2177066200963202,	0.030006292500597997,	3.0291242558158933,	3.059130548316491,	0.08271110026630808,	6.155000000000002,	6.23771110026631,	7.1528517633808315,	541.4650327999999,	548.6178845633807,	
Conv2_4,	GEMM,	0.6167394082772435,	1.6146932290264424,	0.0,	0.7739664681850962,	3.005399105488782,	356.3135352,	359.31893430548877,	0.5155775032882611,	0.21744810072115384,	0.6436654382812499,	0.7262224097235576,	2.1029134520142225,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.0994110520142,	0.010045998849891066,	0.47626448761777723,	0.4863104864676683,	0.0014524335686589495,	0.47626448761777723,	0.4777169211864362,	0.059409943675093065,	2.173346768948554,	2.232756712623647,	0.04018661247127866,	3.0291242558158933,	3.0693108682871717,	0.11109498856492173,	6.155000000000002,	6.266094988564924,	5.219407546067926,	541.4650327999999,	546.6844403460678,	
