Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.11446422704771245,	0.1498440790442781,	0.0,	1.1987526323542248,	1.4630609384462154,	1.348596711398503,	0.1498440790442781,	0.0,	1.1987526323542248,	2.697193422797006,	
Conv2_0,	GEMM,	0.13134036308679825,	0.3438729506272536,	0.0,	0.1719364753136268,	0.6471497890276786,	2.3211424167339616,	0.3438729506272536,	1.8913012284498947,	2.0632377037635217,	6.619554299574631,	
Conv1_1,	GEMM,	0.11446422704771245,	0.1498440790442781,	0.0,	1.1987526323542248,	1.4630609384462154,	1.348596711398503,	0.1498440790442781,	0.0,	1.1987526323542248,	2.697193422797006,	
Conv2_1,	GEMM,	0.13134036308679825,	0.3438729506272536,	0.0,	0.1719364753136268,	0.6471497890276786,	2.3211424167339616,	0.3438729506272536,	1.8913012284498947,	2.0632377037635217,	6.619554299574631,	
Conv1_2,	GEMM,	0.11446422704771245,	0.1498440790442781,	0.0,	1.1987526323542248,	1.4630609384462154,	1.348596711398503,	0.1498440790442781,	0.0,	1.1987526323542248,	2.697193422797006,	
Conv2_2,	GEMM,	0.13134036308679825,	0.3438729506272536,	0.0,	0.1719364753136268,	0.6471497890276786,	2.3211424167339616,	0.3438729506272536,	1.8913012284498947,	2.0632377037635217,	6.619554299574631,	
Conv1_3,	GEMM,	0.11446422704771245,	0.1498440790442781,	0.0,	1.1987526323542248,	1.4630609384462154,	1.348596711398503,	0.1498440790442781,	0.0,	1.1987526323542248,	2.697193422797006,	
Conv2_3,	GEMM,	0.13134036308679825,	0.3438729506272536,	0.0,	0.1719364753136268,	0.6471497890276786,	2.3211424167339616,	0.3438729506272536,	1.8913012284498947,	2.0632377037635217,	6.619554299574631,	
Conv1_4,	GEMM,	0.11446422704771245,	0.1498440790442781,	0.0,	1.1987526323542248,	1.4630609384462154,	1.348596711398503,	0.1498440790442781,	0.0,	1.1987526323542248,	2.697193422797006,	
Conv2_4,	GEMM,	0.13134036308679825,	0.3438729506272536,	0.0,	0.1719364753136268,	0.6471497890276786,	2.3211424167339616,	0.3438729506272536,	1.8913012284498947,	2.0632377037635217,	6.619554299574631,	
Conv1_5,	GEMM,	0.11446422704771245,	0.1498440790442781,	0.0,	1.1987526323542248,	1.4630609384462154,	1.348596711398503,	0.1498440790442781,	0.0,	1.1987526323542248,	2.697193422797006,	
Conv2_5,	GEMM,	0.13134036308679825,	0.3438729506272536,	0.0,	0.1719364753136268,	0.6471497890276786,	2.3211424167339616,	0.3438729506272536,	1.8913012284498947,	2.0632377037635217,	6.619554299574631,	
Conv1_6,	GEMM,	0.11446422704771245,	0.1498440790442781,	0.0,	1.1987526323542248,	1.4630609384462154,	1.348596711398503,	0.1498440790442781,	0.0,	1.1987526323542248,	2.697193422797006,	
Conv2_6,	GEMM,	0.13134036308679825,	0.3438729506272536,	0.0,	0.1719364753136268,	0.6471497890276786,	2.3211424167339616,	0.3438729506272536,	1.8913012284498947,	2.0632377037635217,	6.619554299574631,	
Conv1_7,	GEMM,	0.11446422704771245,	0.1498440790442781,	0.0,	1.1987526323542248,	1.4630609384462154,	1.348596711398503,	0.1498440790442781,	0.0,	1.1987526323542248,	2.697193422797006,	
Conv2_7,	GEMM,	0.13134036308679825,	0.3438729506272536,	0.0,	0.1719364753136268,	0.6471497890276786,	2.3211424167339616,	0.3438729506272536,	1.8913012284498947,	2.0632377037635217,	6.619554299574631,	
Conv1_8,	GEMM,	0.11446422704771245,	0.1498440790442781,	0.0,	1.1987526323542248,	1.4630609384462154,	1.348596711398503,	0.1498440790442781,	0.0,	1.1987526323542248,	2.697193422797006,	
Conv2_8,	GEMM,	0.13134036308679825,	0.3438729506272536,	0.0,	0.1719364753136268,	0.6471497890276786,	2.3211424167339616,	0.3438729506272536,	1.8913012284498947,	2.0632377037635217,	6.619554299574631,	
Conv1_9,	GEMM,	0.11446422704771245,	0.1498440790442781,	0.0,	1.1987526323542248,	1.4630609384462154,	1.348596711398503,	0.1498440790442781,	0.0,	1.1987526323542248,	2.697193422797006,	
Conv2_9,	GEMM,	0.13134036308679825,	0.3438729506272536,	0.0,	0.1719364753136268,	0.6471497890276786,	2.3211424167339616,	0.3438729506272536,	1.8913012284498947,	2.0632377037635217,	6.619554299574631,	
FC3_0,	GEMM,	0.005884659365530367,	1.506472797575774,	0.0,	0.00042797522658402664,	1.5127854321678884,	0.11180852794507697,	1.506472797575774,	0.1253967413891198,	0.12582471661570382,	1.8695027835256743,	
FC3_1,	GEMM,	0.005884659365530367,	1.506472797575774,	0.0,	0.00042797522658402664,	1.5127854321678884,	0.11180852794507697,	1.506472797575774,	0.1253967413891198,	0.12582471661570382,	1.8695027835256743,	
FC3_2,	GEMM,	0.005884659365530367,	1.506472797575774,	0.0,	0.00042797522658402664,	1.5127854321678884,	0.11180852794507697,	1.506472797575774,	0.1253967413891198,	0.12582471661570382,	1.8695027835256743,	
FC3_3,	GEMM,	0.005884659365530367,	1.506472797575774,	0.0,	0.00042797522658402664,	1.5127854321678884,	0.11180852794507697,	1.506472797575774,	0.1253967413891198,	0.12582471661570382,	1.8695027835256743,	
FC3_4,	GEMM,	0.005884659365530367,	1.506472797575774,	0.0,	0.00042797522658402664,	1.5127854321678884,	0.11180852794507697,	1.506472797575774,	0.1253967413891198,	0.12582471661570382,	1.8695027835256743,	
FC3_5,	GEMM,	0.005884659365530367,	1.506472797575774,	0.0,	0.00042797522658402664,	1.5127854321678884,	0.11180852794507697,	1.506472797575774,	0.1253967413891198,	0.12582471661570382,	1.8695027835256743,	
FC3_6,	GEMM,	0.005884659365530367,	1.506472797575774,	0.0,	0.00042797522658402664,	1.5127854321678884,	0.11180852794507697,	1.506472797575774,	0.1253967413891198,	0.12582471661570382,	1.8695027835256743,	
FC3_7,	GEMM,	0.005884659365530367,	1.506472797575774,	0.0,	0.00042797522658402664,	1.5127854321678884,	0.11180852794507697,	1.506472797575774,	0.1253967413891198,	0.12582471661570382,	1.8695027835256743,	
FC3_8,	GEMM,	0.005884659365530367,	1.506472797575774,	0.0,	0.00042797522658402664,	1.5127854321678884,	0.11180852794507697,	1.506472797575774,	0.1253967413891198,	0.12582471661570382,	1.8695027835256743,	
FC3_9,	GEMM,	0.005884659365530367,	1.506472797575774,	0.0,	0.00042797522658402664,	1.5127854321678884,	0.11180852794507697,	1.506472797575774,	0.1253967413891198,	0.12582471661570382,	1.8695027835256743,	
