Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
Conv1_0,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_0,	GEMM,	4992.0,	0.00011671732522796353,	8567.708333333334,	
Conv1_1,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_1,	GEMM,	4992.0,	0.00011671732522796353,	8567.708333333334,	
Conv1_2,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_2,	GEMM,	4992.0,	0.00011671732522796353,	8567.708333333334,	
Conv1_3,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_3,	GEMM,	4992.0,	0.00011671732522796353,	8567.708333333334,	
Conv1_4,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_4,	GEMM,	4992.0,	0.00011671732522796353,	8567.708333333334,	
Conv1_5,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_5,	GEMM,	4992.0,	0.00011671732522796353,	8567.708333333334,	
Conv1_6,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_6,	GEMM,	4992.0,	0.00011671732522796353,	8567.708333333334,	
Conv1_7,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_7,	GEMM,	4992.0,	0.00011671732522796353,	8567.708333333334,	
Conv1_8,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_8,	GEMM,	4992.0,	0.00011671732522796353,	8567.708333333334,	
Conv1_9,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_9,	GEMM,	4992.0,	0.00011671732522796353,	8567.708333333334,	
FC3_0,	GEMM,	12462.0,	0.0002913724573299041,	3432.0333814796986,	
FC3_1,	GEMM,	12462.0,	0.0002913724573299041,	3432.0333814796986,	
FC3_2,	GEMM,	12462.0,	0.0002913724573299041,	3432.0333814796986,	
FC3_3,	GEMM,	12462.0,	0.0002913724573299041,	3432.0333814796986,	
FC3_4,	GEMM,	12462.0,	0.0002913724573299041,	3432.0333814796986,	
FC3_5,	GEMM,	12462.0,	0.0002913724573299041,	3432.0333814796986,	
FC3_6,	GEMM,	12462.0,	0.0002913724573299041,	3432.0333814796986,	
FC3_7,	GEMM,	12462.0,	0.0002913724573299041,	3432.0333814796986,	
FC3_8,	GEMM,	12462.0,	0.0002913724573299041,	3432.0333814796986,	
FC3_9,	GEMM,	12462.0,	0.0002913724573299041,	3432.0333814796986,	
RNN4_FG_0,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_0,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_0,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_0,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_FG_1,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_1,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_1,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_1,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_FG_2,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_2,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_2,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_2,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_FG_3,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_3,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_3,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_3,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_FG_4,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_4,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_4,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_4,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_FG_5,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_5,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_5,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_5,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_FG_6,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_6,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_6,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_6,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_FG_7,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_7,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_7,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_7,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_FG_8,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_8,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_8,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_8,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_FG_9,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_9,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_9,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_9,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
FC5,	GEMM,	205.0,	4.793079261164367e-06,	208634.14634146346,	
FC6,	GEMM,	163.0,	3.8110825344867896e-06,	262392.6380368098,	
eyeriss_08b_bp_001c_uBrain_t0_ddr3_w__spm,	All,	334088.0,	0.007811269581482351,	128.02016235243403,	
