Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
Conv1_0,	GEMM,	358.0,	6.69158878504673e-05,	14944.134078212288,	
Conv2_0,	GEMM,	4992.0,	0.0009330841121495328,	1071.7147435897436,	
Conv1_1,	GEMM,	358.0,	6.69158878504673e-05,	14944.134078212288,	
Conv2_1,	GEMM,	4992.0,	0.0009330841121495328,	1071.7147435897436,	
Conv1_2,	GEMM,	358.0,	6.69158878504673e-05,	14944.134078212288,	
Conv2_2,	GEMM,	4992.0,	0.0009330841121495328,	1071.7147435897436,	
Conv1_3,	GEMM,	358.0,	6.69158878504673e-05,	14944.134078212288,	
Conv2_3,	GEMM,	4992.0,	0.0009330841121495328,	1071.7147435897436,	
Conv1_4,	GEMM,	358.0,	6.69158878504673e-05,	14944.134078212288,	
Conv2_4,	GEMM,	4992.0,	0.0009330841121495328,	1071.7147435897436,	
Conv1_5,	GEMM,	358.0,	6.69158878504673e-05,	14944.134078212288,	
Conv2_5,	GEMM,	4992.0,	0.0009330841121495328,	1071.7147435897436,	
Conv1_6,	GEMM,	358.0,	6.69158878504673e-05,	14944.134078212288,	
Conv2_6,	GEMM,	4992.0,	0.0009330841121495328,	1071.7147435897436,	
Conv1_7,	GEMM,	358.0,	6.69158878504673e-05,	14944.134078212288,	
Conv2_7,	GEMM,	4992.0,	0.0009330841121495328,	1071.7147435897436,	
Conv1_8,	GEMM,	358.0,	6.69158878504673e-05,	14944.134078212288,	
Conv2_8,	GEMM,	4992.0,	0.0009330841121495328,	1071.7147435897436,	
Conv1_9,	GEMM,	358.0,	6.69158878504673e-05,	14944.134078212288,	
Conv2_9,	GEMM,	4992.0,	0.0009330841121495328,	1071.7147435897436,	
FC3_0,	GEMM,	12462.0,	0.0023293457943925236,	429.3050874658963,	
FC3_1,	GEMM,	12462.0,	0.0023293457943925236,	429.3050874658963,	
FC3_2,	GEMM,	12462.0,	0.0023293457943925236,	429.3050874658963,	
FC3_3,	GEMM,	12462.0,	0.0023293457943925236,	429.3050874658963,	
FC3_4,	GEMM,	12462.0,	0.0023293457943925236,	429.3050874658963,	
FC3_5,	GEMM,	12462.0,	0.0023293457943925236,	429.3050874658963,	
FC3_6,	GEMM,	12462.0,	0.0023293457943925236,	429.3050874658963,	
FC3_7,	GEMM,	12462.0,	0.0023293457943925236,	429.3050874658963,	
FC3_8,	GEMM,	12462.0,	0.0023293457943925236,	429.3050874658963,	
FC3_9,	GEMM,	12462.0,	0.0023293457943925236,	429.3050874658963,	
RNN4_FG_0,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_NG_0,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_ptwise1_0,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_ptwise2_0,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_FG_1,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_NG_1,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_ptwise1_1,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_ptwise2_1,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_FG_2,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_NG_2,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_ptwise1_2,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_ptwise2_2,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_FG_3,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_NG_3,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_ptwise1_3,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_ptwise2_3,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_FG_4,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_NG_4,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_ptwise1_4,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_ptwise2_4,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_FG_5,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_NG_5,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_ptwise1_5,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_ptwise2_5,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_FG_6,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_NG_6,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_ptwise1_6,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_ptwise2_6,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_FG_7,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_NG_7,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_ptwise1_7,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_ptwise2_7,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_FG_8,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_NG_8,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_ptwise1_8,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_ptwise2_8,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
RNN4_FG_9,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_NG_9,	GEMM,	7631.0,	0.0014263551401869161,	701.0876687196959,	
RNN4_ptwise1_9,	GEMM,	149.0,	2.7850467289719627e-05,	35906.040268456374,	
